timestamp,gtr,gtr-norm,merit-nt,bgp,ping-slash24,datetime,DATETIME,LABEL
1692506100,,0.45937495709690573,4.6,2919,610.0,2023-08-20 04:35:00+00:00,2023-08-20 04:35:00+00:00,0
1692506400,,0.45937495709690573,5.8,2919,597.0,2023-08-20 04:40:00+00:00,2023-08-20 04:40:00+00:00,0
1692506700,,0.45937495709690573,3.6,2919,597.0,2023-08-20 04:45:00+00:00,2023-08-20 04:45:00+00:00,0
1692507000,,0.45937495709690573,3.2,2919,598.0,2023-08-20 04:50:00+00:00,2023-08-20 04:50:00+00:00,0
1692507300,,0.45937495709690573,5.0,2919,598.0,2023-08-20 04:55:00+00:00,2023-08-20 04:55:00+00:00,0
1692507600,2147701354.0,0.4874013480872171,5.4,2919,596.0,2023-08-20 05:00:00+00:00,2023-08-20 05:00:00+00:00,0
1692507900,,0.4874013480872171,5.0,2918,596.0,2023-08-20 05:05:00+00:00,2023-08-20 05:05:00+00:00,0
1692508200,,0.4874013480872171,5.8,2919,600.0,2023-08-20 05:10:00+00:00,2023-08-20 05:10:00+00:00,0
1692508500,,0.4874013480872171,6.8,2919,600.0,2023-08-20 05:15:00+00:00,2023-08-20 05:15:00+00:00,0
1692508800,,0.4874013480872171,7.0,2919,605.0,2023-08-20 05:20:00+00:00,2023-08-20 05:20:00+00:00,0
1692509100,,0.4874013480872171,7.2,2918,605.0,2023-08-20 05:25:00+00:00,2023-08-20 05:25:00+00:00,0
1692509400,2388854583.0,0.5384320264122978,7.6,2919,594.0,2023-08-20 05:30:00+00:00,2023-08-20 05:30:00+00:00,0
1692509700,,0.5384320264122978,5.8,2919,594.0,2023-08-20 05:35:00+00:00,2023-08-20 05:35:00+00:00,0
1692510000,,0.5384320264122978,5.2,2919,600.0,2023-08-20 05:40:00+00:00,2023-08-20 05:40:00+00:00,0
1692510300,,0.5384320264122978,4.8,2918,600.0,2023-08-20 05:45:00+00:00,2023-08-20 05:45:00+00:00,0
1692510600,,0.5384320264122978,7.2,2918,603.0,2023-08-20 05:50:00+00:00,2023-08-20 05:50:00+00:00,0
1692510900,,0.5384320264122978,4.2,2918,603.0,2023-08-20 05:55:00+00:00,2023-08-20 05:55:00+00:00,0
1692511200,2705266875.0,0.5768505784664082,6.4,2918,599.0,2023-08-20 06:00:00+00:00,2023-08-20 06:00:00+00:00,0
1692511500,,0.5768505784664082,8.0,2918,599.0,2023-08-20 06:05:00+00:00,2023-08-20 06:05:00+00:00,0
1692511800,,0.5768505784664082,7.0,2918,601.0,2023-08-20 06:10:00+00:00,2023-08-20 06:10:00+00:00,0
1692512100,,0.5768505784664082,6.0,2918,601.0,2023-08-20 06:15:00+00:00,2023-08-20 06:15:00+00:00,0
1692512400,,0.5768505784664082,7.4,2918,606.0,2023-08-20 06:20:00+00:00,2023-08-20 06:20:00+00:00,0
1692512700,,0.5768505784664082,5.8,2918,606.0,2023-08-20 06:25:00+00:00,2023-08-20 06:25:00+00:00,0
1692513000,2967540208.0,0.6179889088192615,4.8,2918,607.0,2023-08-20 06:30:00+00:00,2023-08-20 06:30:00+00:00,0
1692513300,,0.6179889088192615,7.6,2903,607.0,2023-08-20 06:35:00+00:00,2023-08-20 06:35:00+00:00,0
1692513600,,0.6179889088192615,7.4,2903,603.0,2023-08-20 06:40:00+00:00,2023-08-20 06:40:00+00:00,0
1692513900,,0.6179889088192615,8.6,2903,603.0,2023-08-20 06:45:00+00:00,2023-08-20 06:45:00+00:00,0
1692514200,,0.6179889088192615,8.2,2903,606.0,2023-08-20 06:50:00+00:00,2023-08-20 06:50:00+00:00,0
1692514500,,0.6179889088192615,6.4,2903,606.0,2023-08-20 06:55:00+00:00,2023-08-20 06:55:00+00:00,0
1692514800,3216059375.0,0.6403205653905784,6.6,2903,599.0,2023-08-20 07:00:00+00:00,2023-08-20 07:00:00+00:00,0
1692515100,,0.6403205653905784,6.4,2903,599.0,2023-08-20 07:05:00+00:00,2023-08-20 07:05:00+00:00,0
1692515400,,0.6403205653905784,5.6,2903,596.0,2023-08-20 07:10:00+00:00,2023-08-20 07:10:00+00:00,0
1692515700,,0.6403205653905784,4.0,2903,596.0,2023-08-20 07:15:00+00:00,2023-08-20 07:15:00+00:00,0
1692516000,,0.6403205653905784,4.8,2903,590.0,2023-08-20 07:20:00+00:00,2023-08-20 07:20:00+00:00,0
1692516300,,0.6403205653905784,5.8,2903,590.0,2023-08-20 07:25:00+00:00,2023-08-20 07:25:00+00:00,0
1692516600,3491354166.0,0.679169691434596,3.6,2903,599.0,2023-08-20 07:30:00+00:00,2023-08-20 07:30:00+00:00,0
1692516900,,0.679169691434596,5.8,2905,599.0,2023-08-20 07:35:00+00:00,2023-08-20 07:35:00+00:00,0
1692517200,,0.679169691434596,9.6,2905,598.0,2023-08-20 07:40:00+00:00,2023-08-20 07:40:00+00:00,0
1692517500,,0.679169691434596,7.6,2904,598.0,2023-08-20 07:45:00+00:00,2023-08-20 07:45:00+00:00,0
1692517800,,0.679169691434596,7.4,2904,601.0,2023-08-20 07:50:00+00:00,2023-08-20 07:50:00+00:00,0
1692518100,,0.679169691434596,6.0,2904,601.0,2023-08-20 07:55:00+00:00,2023-08-20 07:55:00+00:00,0
1692518400,3791852083.0,0.7096810318656566,6.8,2904,599.0,2023-08-20 08:00:00+00:00,2023-08-20 08:00:00+00:00,0
1692518700,,0.7096810318656566,3.8,2904,599.0,2023-08-20 08:05:00+00:00,2023-08-20 08:05:00+00:00,0
1692519000,,0.7096810318656566,6.6,2904,607.0,2023-08-20 08:10:00+00:00,2023-08-20 08:10:00+00:00,0
1692519300,,0.7096810318656566,4.6,2904,607.0,2023-08-20 08:15:00+00:00,2023-08-20 08:15:00+00:00,0
1692519600,,0.7096810318656566,5.6,2905,602.0,2023-08-20 08:20:00+00:00,2023-08-20 08:20:00+00:00,0
1692519900,,0.7096810318656566,6.0,2920,602.0,2023-08-20 08:25:00+00:00,2023-08-20 08:25:00+00:00,0
1692520200,4091662187.0,0.7489196643001351,6.4,2920,604.0,2023-08-20 08:30:00+00:00,2023-08-20 08:30:00+00:00,0
1692520500,,0.7489196643001351,7.4,2920,604.0,2023-08-20 08:35:00+00:00,2023-08-20 08:35:00+00:00,0
1692520800,,0.7489196643001351,5.4,2920,593.0,2023-08-20 08:40:00+00:00,2023-08-20 08:40:00+00:00,0
1692521100,,0.7489196643001351,7.4,2920,593.0,2023-08-20 08:45:00+00:00,2023-08-20 08:45:00+00:00,0
1692521400,,0.7489196643001351,6.0,2920,602.0,2023-08-20 08:50:00+00:00,2023-08-20 08:50:00+00:00,0
1692521700,,0.7489196643001351,6.0,2920,602.0,2023-08-20 08:55:00+00:00,2023-08-20 08:55:00+00:00,0
1692522000,4286913541.0,0.7893508358943442,8.6,2920,598.0,2023-08-20 09:00:00+00:00,2023-08-20 09:00:00+00:00,0
1692522300,,0.7893508358943442,5.2,2920,598.0,2023-08-20 09:05:00+00:00,2023-08-20 09:05:00+00:00,0
1692522600,,0.7893508358943442,6.6,2920,593.0,2023-08-20 09:10:00+00:00,2023-08-20 09:10:00+00:00,0
1692522900,,0.7893508358943442,8.2,2920,593.0,2023-08-20 09:15:00+00:00,2023-08-20 09:15:00+00:00,0
1692523200,,0.7893508358943442,5.6,2914,603.0,2023-08-20 09:20:00+00:00,2023-08-20 09:20:00+00:00,0
1692523500,,0.7893508358943442,7.8,2918,603.0,2023-08-20 09:25:00+00:00,2023-08-20 09:25:00+00:00,0
1692523800,4247287916.0,0.8076571682129127,7.4,2917,605.0,2023-08-20 09:30:00+00:00,2023-08-20 09:30:00+00:00,0
1692524100,,0.8076571682129127,7.8,2917,605.0,2023-08-20 09:35:00+00:00,2023-08-20 09:35:00+00:00,0
1692524400,,0.8076571682129127,7.0,2917,595.0,2023-08-20 09:40:00+00:00,2023-08-20 09:40:00+00:00,0
1692524700,,0.8076571682129127,9.0,2917,595.0,2023-08-20 09:45:00+00:00,2023-08-20 09:45:00+00:00,0
1692525000,,0.8076571682129127,9.4,2917,603.0,2023-08-20 09:50:00+00:00,2023-08-20 09:50:00+00:00,0
1692525300,,0.8076571682129127,10.4,2917,603.0,2023-08-20 09:55:00+00:00,2023-08-20 09:55:00+00:00,0
1692525600,4355581562.0,0.8257795849091248,8.0,2918,596.0,2023-08-20 10:00:00+00:00,2023-08-20 10:00:00+00:00,0
1692525900,,0.8257795849091248,6.4,2918,596.0,2023-08-20 10:05:00+00:00,2023-08-20 10:05:00+00:00,0
1692526200,,0.8257795849091248,4.4,2918,594.0,2023-08-20 10:10:00+00:00,2023-08-20 10:10:00+00:00,0
1692526500,,0.8257795849091248,5.6,2918,594.0,2023-08-20 10:15:00+00:00,2023-08-20 10:15:00+00:00,0
1692526800,,0.8257795849091248,6.2,2918,602.0,2023-08-20 10:20:00+00:00,2023-08-20 10:20:00+00:00,0
1692527100,,0.8257795849091248,3.2,2918,602.0,2023-08-20 10:25:00+00:00,2023-08-20 10:25:00+00:00,0
1692527400,4747971250.0,0.8692732946970677,5.4,2919,601.0,2023-08-20 10:30:00+00:00,2023-08-20 10:30:00+00:00,0
1692527700,,0.8692732946970677,6.0,2918,601.0,2023-08-20 10:35:00+00:00,2023-08-20 10:35:00+00:00,0
1692528000,,0.8692732946970677,6.6,2919,604.0,2023-08-20 10:40:00+00:00,2023-08-20 10:40:00+00:00,0
1692528300,,0.8692732946970677,5.6,2918,604.0,2023-08-20 10:45:00+00:00,2023-08-20 10:45:00+00:00,0
1692528600,,0.8692732946970677,3.2,2919,601.0,2023-08-20 10:50:00+00:00,2023-08-20 10:50:00+00:00,0
1692528900,,0.8692732946970677,5.6,2919,601.0,2023-08-20 10:55:00+00:00,2023-08-20 10:55:00+00:00,0
1692529200,4912273437.0,0.8906629625087549,6.6,2919,597.0,2023-08-20 11:00:00+00:00,2023-08-20 11:00:00+00:00,0
1692529500,,0.8906629625087549,4.8,2919,597.0,2023-08-20 11:05:00+00:00,2023-08-20 11:05:00+00:00,0
1692529800,,0.8906629625087549,5.2,2919,605.0,2023-08-20 11:10:00+00:00,2023-08-20 11:10:00+00:00,0
1692530100,,0.8906629625087549,3.0,2919,605.0,2023-08-20 11:15:00+00:00,2023-08-20 11:15:00+00:00,0
