timestamp,merit-nt,bgp,ping-slash24,datetime,DATETIME,LABEL
1647873600,1.6,670,381.0,2022-03-21 14:40:00+00:00,2022-03-21 14:40:00+00:00,0
1647873900,1.4,670,381.0,2022-03-21 14:45:00+00:00,2022-03-21 14:45:00+00:00,0
1647874200,1.0,670,393.0,2022-03-21 14:50:00+00:00,2022-03-21 14:50:00+00:00,0
1647874500,0.8,670,393.0,2022-03-21 14:55:00+00:00,2022-03-21 14:55:00+00:00,0
1647874800,1.4,670,391.0,2022-03-21 15:00:00+00:00,2022-03-21 15:00:00+00:00,0
1647875100,0.8,670,391.0,2022-03-21 15:05:00+00:00,2022-03-21 15:05:00+00:00,0
1647875400,0.6,670,391.0,2022-03-21 15:10:00+00:00,2022-03-21 15:10:00+00:00,0
1647875700,1.2,670,391.0,2022-03-21 15:15:00+00:00,2022-03-21 15:15:00+00:00,0
1647876000,0.8,670,375.0,2022-03-21 15:20:00+00:00,2022-03-21 15:20:00+00:00,0
1647876300,1.8,670,375.0,2022-03-21 15:25:00+00:00,2022-03-21 15:25:00+00:00,0
1647876600,1.0,670,375.0,2022-03-21 15:30:00+00:00,2022-03-21 15:30:00+00:00,0
1647876900,0.6,670,375.0,2022-03-21 15:35:00+00:00,2022-03-21 15:35:00+00:00,0
1647877200,0.4,670,379.0,2022-03-21 15:40:00+00:00,2022-03-21 15:40:00+00:00,0
1647877500,1.2,670,379.0,2022-03-21 15:45:00+00:00,2022-03-21 15:45:00+00:00,0
1647877800,1.8,670,383.0,2022-03-21 15:50:00+00:00,2022-03-21 15:50:00+00:00,0
1647878100,1.0,670,383.0,2022-03-21 15:55:00+00:00,2022-03-21 15:55:00+00:00,0
1647878400,0.75,670,384.0,2022-03-21 16:00:00+00:00,2022-03-21 16:00:00+00:00,0
1647878700,1.2,670,384.0,2022-03-21 16:05:00+00:00,2022-03-21 16:05:00+00:00,0
1647879000,0.6,670,388.0,2022-03-21 16:10:00+00:00,2022-03-21 16:10:00+00:00,0
1647879300,1.0,670,388.0,2022-03-21 16:15:00+00:00,2022-03-21 16:15:00+00:00,0
1647879600,0.8,670,381.0,2022-03-21 16:20:00+00:00,2022-03-21 16:20:00+00:00,0
1647879900,1.8,670,381.0,2022-03-21 16:25:00+00:00,2022-03-21 16:25:00+00:00,0
1647880200,2.0,670,376.0,2022-03-21 16:30:00+00:00,2022-03-21 16:30:00+00:00,0
1647880500,1.0,670,376.0,2022-03-21 16:35:00+00:00,2022-03-21 16:35:00+00:00,0
1647880800,1.4,670,394.0,2022-03-21 16:40:00+00:00,2022-03-21 16:40:00+00:00,0
1647881100,2.6,670,394.0,2022-03-21 16:45:00+00:00,2022-03-21 16:45:00+00:00,0
1647881400,1.0,670,380.0,2022-03-21 16:50:00+00:00,2022-03-21 16:50:00+00:00,0
1647881700,2.2,670,380.0,2022-03-21 16:55:00+00:00,2022-03-21 16:55:00+00:00,0
1647882000,2.4,670,373.0,2022-03-21 17:00:00+00:00,2022-03-21 17:00:00+00:00,0
1647882300,1.8,670,373.0,2022-03-21 17:05:00+00:00,2022-03-21 17:05:00+00:00,0
1647882600,1.8,670,386.0,2022-03-21 17:10:00+00:00,2022-03-21 17:10:00+00:00,0
1647882900,1.0,670,386.0,2022-03-21 17:15:00+00:00,2022-03-21 17:15:00+00:00,0
1647883200,1.0,670,375.0,2022-03-21 17:20:00+00:00,2022-03-21 17:20:00+00:00,0
1647883500,1.6,670,375.0,2022-03-21 17:25:00+00:00,2022-03-21 17:25:00+00:00,0
1647883800,0.8,670,373.0,2022-03-21 17:30:00+00:00,2022-03-21 17:30:00+00:00,0
1647884100,0.6,670,373.0,2022-03-21 17:35:00+00:00,2022-03-21 17:35:00+00:00,0
1647884400,1.2,670,360.0,2022-03-21 17:40:00+00:00,2022-03-21 17:40:00+00:00,0
1647884700,0.8,670,360.0,2022-03-21 17:45:00+00:00,2022-03-21 17:45:00+00:00,0
1647885000,1.8,670,366.0,2022-03-21 17:50:00+00:00,2022-03-21 17:50:00+00:00,0
1647885300,1.8,670,366.0,2022-03-21 17:55:00+00:00,2022-03-21 17:55:00+00:00,0
1647885600,2.6666666666666665,670,384.0,2022-03-21 18:00:00+00:00,2022-03-21 18:00:00+00:00,0
1647885900,1.6,670,384.0,2022-03-21 18:05:00+00:00,2022-03-21 18:05:00+00:00,0
1647886200,0.8,670,367.0,2022-03-21 18:10:00+00:00,2022-03-21 18:10:00+00:00,0
1647886500,0.8,670,367.0,2022-03-21 18:15:00+00:00,2022-03-21 18:15:00+00:00,0
1647886800,1.2,670,368.0,2022-03-21 18:20:00+00:00,2022-03-21 18:20:00+00:00,0
1647887100,1.2,670,368.0,2022-03-21 18:25:00+00:00,2022-03-21 18:25:00+00:00,0
1647887400,1.2,670,375.0,2022-03-21 18:30:00+00:00,2022-03-21 18:30:00+00:00,0
1647887700,1.2,670,375.0,2022-03-21 18:35:00+00:00,2022-03-21 18:35:00+00:00,0
1647888000,2.4,670,364.0,2022-03-21 18:40:00+00:00,2022-03-21 18:40:00+00:00,0
1647888300,0.8,670,364.0,2022-03-21 18:45:00+00:00,2022-03-21 18:45:00+00:00,0
1647888600,0.6,670,362.0,2022-03-21 18:50:00+00:00,2022-03-21 18:50:00+00:00,0
1647888900,0.8,670,362.0,2022-03-21 18:55:00+00:00,2022-03-21 18:55:00+00:00,0
1647889200,0.6,670,368.0,2022-03-21 19:00:00+00:00,2022-03-21 19:00:00+00:00,0
1647889500,0.8,670,368.0,2022-03-21 19:05:00+00:00,2022-03-21 19:05:00+00:00,0
1647889800,0.8,670,363.0,2022-03-21 19:10:00+00:00,2022-03-21 19:10:00+00:00,0
1647890100,2.0,670,363.0,2022-03-21 19:15:00+00:00,2022-03-21 19:15:00+00:00,0
1647890400,0.2,670,368.0,2022-03-21 19:20:00+00:00,2022-03-21 19:20:00+00:00,0
1647890700,1.6,670,368.0,2022-03-21 19:25:00+00:00,2022-03-21 19:25:00+00:00,0
1647891000,0.4,670,380.0,2022-03-21 19:30:00+00:00,2022-03-21 19:30:00+00:00,0
1647891300,1.0,670,380.0,2022-03-21 19:35:00+00:00,2022-03-21 19:35:00+00:00,0
1647891600,0.8,670,377.0,2022-03-21 19:40:00+00:00,2022-03-21 19:40:00+00:00,0
1647891900,0.4,670,377.0,2022-03-21 19:45:00+00:00,2022-03-21 19:45:00+00:00,0
1647892200,0.4,670,380.0,2022-03-21 19:50:00+00:00,2022-03-21 19:50:00+00:00,0
1647892500,0.6,670,380.0,2022-03-21 19:55:00+00:00,2022-03-21 19:55:00+00:00,0
1647892800,0.4,670,364.0,2022-03-21 20:00:00+00:00,2022-03-21 20:00:00+00:00,0
1647893100,0.6,670,364.0,2022-03-21 20:05:00+00:00,2022-03-21 20:05:00+00:00,0
1647893400,0.2,670,381.0,2022-03-21 20:10:00+00:00,2022-03-21 20:10:00+00:00,0
1647893700,0.4,670,381.0,2022-03-21 20:15:00+00:00,2022-03-21 20:15:00+00:00,0
1647894000,0.6,670,368.0,2022-03-21 20:20:00+00:00,2022-03-21 20:20:00+00:00,0
1647894300,0.4,670,368.0,2022-03-21 20:25:00+00:00,2022-03-21 20:25:00+00:00,0
1647894600,0.0,670,375.0,2022-03-21 20:30:00+00:00,2022-03-21 20:30:00+00:00,0
1647894900,0.2,670,375.0,2022-03-21 20:35:00+00:00,2022-03-21 20:35:00+00:00,0
1647895200,0.4,670,375.0,2022-03-21 20:40:00+00:00,2022-03-21 20:40:00+00:00,0
1647895500,0.8,670,375.0,2022-03-21 20:45:00+00:00,2022-03-21 20:45:00+00:00,0
1647895800,0.8,670,370.0,2022-03-21 20:50:00+00:00,2022-03-21 20:50:00+00:00,0
1647896100,0.8,670,370.0,2022-03-21 20:55:00+00:00,2022-03-21 20:55:00+00:00,0
1647896400,0.6666666666666666,670,369.0,2022-03-21 21:00:00+00:00,2022-03-21 21:00:00+00:00,0
1647896700,0.8,670,369.0,2022-03-21 21:05:00+00:00,2022-03-21 21:05:00+00:00,0
1647897000,0.0,670,363.0,2022-03-21 21:10:00+00:00,2022-03-21 21:10:00+00:00,0
1647897300,0.8,670,363.0,2022-03-21 21:15:00+00:00,2022-03-21 21:15:00+00:00,0
1647897600,0.2,670,375.0,2022-03-21 21:20:00+00:00,2022-03-21 21:20:00+00:00,0
1647897900,0.6,670,375.0,2022-03-21 21:25:00+00:00,2022-03-21 21:25:00+00:00,0
1647898200,0.2,670,376.0,2022-03-21 21:30:00+00:00,2022-03-21 21:30:00+00:00,0
1647898500,0.0,670,376.0,2022-03-21 21:35:00+00:00,2022-03-21 21:35:00+00:00,0
1647898800,0.0,670,383.0,2022-03-21 21:40:00+00:00,2022-03-21 21:40:00+00:00,0
1647899100,1.4,670,383.0,2022-03-21 21:45:00+00:00,2022-03-21 21:45:00+00:00,0
1647899400,0.4,670,385.0,2022-03-21 21:50:00+00:00,2022-03-21 21:50:00+00:00,0
1647899700,0.6,670,385.0,2022-03-21 21:55:00+00:00,2022-03-21 21:55:00+00:00,0
1647900000,0.6,670,377.0,2022-03-21 22:00:00+00:00,2022-03-21 22:00:00+00:00,0
1647900300,1.0,670,377.0,2022-03-21 22:05:00+00:00,2022-03-21 22:05:00+00:00,0
1647900600,1.2,670,376.0,2022-03-21 22:10:00+00:00,2022-03-21 22:10:00+00:00,0
1647900900,0.6,670,376.0,2022-03-21 22:15:00+00:00,2022-03-21 22:15:00+00:00,0
1647901200,1.0,670,388.0,2022-03-21 22:20:00+00:00,2022-03-21 22:20:00+00:00,0
1647901500,1.0,670,388.0,2022-03-21 22:25:00+00:00,2022-03-21 22:25:00+00:00,0
1647901800,1.0,670,384.0,2022-03-21 22:30:00+00:00,2022-03-21 22:30:00+00:00,0
1647902100,0.2,670,384.0,2022-03-21 22:35:00+00:00,2022-03-21 22:35:00+00:00,0
1647902400,0.6,670,375.0,2022-03-21 22:40:00+00:00,2022-03-21 22:40:00+00:00,0
1647902700,0.6,670,375.0,2022-03-21 22:45:00+00:00,2022-03-21 22:45:00+00:00,0
1647903000,0.2,670,380.0,2022-03-21 22:50:00+00:00,2022-03-21 22:50:00+00:00,0
